SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41563.0,2.0,1.0,1.0,1.0,5.0,2.0,400.0,20.0,200.0,235.0,10.0,2.0,15.0,5.0,90.0,3.0,3.0
41564.0,2.0,3.0,1.0,1.0,5.0,1.0,0.0,0.0,700.0,20.0,0.0,1.0,5.0,0.0,nan,0.0,nan
41565.0,2.0,1.0,1.0,3.0,5.0,5.0,642.0,300.0,10.0,0.0,0.0,1.0,3.0,7.0,30.0,7.0,7.0
41566.0,2.0,1.0,2.0,3.0,5.0,3.0,450.0,50.0,0.0,40.0,0.0,4.0,30.0,7.0,60.0,21.0,19.0
41567.0,2.0,1.0,1.0,3.0,5.0,5.0,428.0,0.0,214.0,0.0,0.0,2.0,10.0,7.0,90.0,14.0,14.0
41568.0,2.0,3.0,3.0,3.0,3.0,2.0,250.0,0.0,0.0,0.0,0.0,2.0,20.0,7.0,120.0,7.0,7.0
41569.0,2.0,1.0,3.0,5.0,5.0,3.0,300.0,0.0,0.0,10.0,0.0,2.0,20.0,7.0,60.0,7.0,7.0
41570.0,2.0,1.0,1.0,4.0,4.0,1.0,70.0,30.0,0.0,0.0,0.0,4.0,5.0,7.0,90.0,666.0,nan
41571.0,1.0,1.0,1.0,1.0,5.0,1.0,420.0,0.0,60.0,100.0,100.0,1.0,5.0,5.0,30.0,5.0,5.0
41572.0,2.0,1.0,1.0,1.0,5.0,3.0,400.0,65.0,30.0,150.0,50.0,1.0,5.0,4.0,180.0,4.0,4.0
41573.0,1.0,2.0,3.0,4.0,5.0,5.0,470.0,50.0,200.0,100.0,0.0,4.0,15.0,7.0,240.0,21.0,21.0
41574.0,1.0,1.0,1.0,2.0,5.0,2.0,250.0,75.0,0.0,250.0,0.0,3.0,10.0,2.0,90.0,3.0,3.0
41575.0,1.0,1.0,1.0,1.0,5.0,3.0,520.0,100.0,0.0,200.0,80.0,1.0,5.0,6.0,60.0,7.0,7.0
41576.0,2.0,1.0,1.0,3.0,5.0,1.0,160.0,40.0,0.0,40.0,0.0,2.0,5.0,3.0,180.0,7.0,3.0
41577.0,1.0,1.0,2.0,2.0,5.0,1.0,100.0,0.0,450.0,140.0,25.0,2.0,20.0,5.0,90.0,6.0,5.0
41578.0,2.0,1.0,1.0,1.0,1.0,5.0,642.0,128.0,0.0,257.0,0.0,4.0,120.0,7.0,120.0,7.0,7.0
41579.0,2.0,1.0,1.0,4.0,1.0,3.0,428.0,85.0,0.0,40.0,0.0,2.0,5.0,6.0,60.0,6.0,6.0
41580.0,2.0,2.0,2.0,3.0,5.0,4.0,857.0,192.0,0.0,0.0,0.0,1.0,15.0,7.0,120.0,7.0,7.0
